arrest_year,sex,age_cohort,category,neighbourhood
2022,Female,25 to 34,Other Criminal Code Violations,Etobicoke City Centre
2022,Male,18 to 24,Crimes Against the Person,Bendale-Glen Andrew
2022,Male,45 to 54,Crimes Against the Person,High Park-Swansea
2022,Male,25 to 34,Crimes Against the Person,Yonge-Bay Corridor
2022,Male,65+,Crimes Against Property,Englemount-Lawrence
2022,Male,18 to 24,Crimes Against the Person,Woburn North
2022,Male,25 to 34,Crimes Against the Person,Eglinton East
2022,Female,25 to 34,Crimes Against Property,Islington
2022,Male,25 to 34,Crimes Against the Person,Fenside-Parkwoods
2022,Female,18 to 24,Other Criminal Code Violations,Wellington Place
2022,Male,25 to 34,Crimes Against the Person,Bayview Woods-Steeles
2022,Male,35 to 44,Crimes Against Property,Palmerston-Little Italy
2022,Male,18 to 24,Crimes Against Property,Downtown Yonge East
2022,Male,35 to 44,Criminal Code Traffic,Oakridge
2022,Male,18 to 24,Crimes Against the Person,Etobicoke City Centre
2022,Male,25 to 34,Crimes Against the Person,Kingsway South
2022,Male,18 to 24,Crimes Against the Person,East Willowdale
2022,Male,35 to 44,Crimes Against Property,Scarborough Village
2022,Male,<18,Crimes Against Property,York University Heights
2022,Male,25 to 34,Crimes Against the Person,Clairlea-Birchmount
2022,Female,35 to 44,Other Criminal Code Violations,Greenwood-Coxwell
2022,Male,18 to 24,Other Criminal Code Violations,Moss Park
2022,Male,55 to 64,Crimes Against Property,L'Amoreaux West
2022,Male,55 to 64,Crimes Against the Person,Don Valley Village
2022,Male,18 to 24,Other Criminal Code Violations,Mount Olive-Silverstone-Jamestown
2022,Male,45 to 54,Other Criminal Code Violations,Lambton Baby Point
2022,Male,<18,Crimes Against the Person,Wexford/Maryvale
2022,Male,35 to 44,Other Criminal Code Violations,Woodbine Corridor
2022,Male,18 to 24,Other Criminal Code Violations,Eglinton East
2022,Female,65+,Crimes Against Property,West Queen West
2022,Male,65+,Crimes Against the Person,Wexford/Maryvale
2022,Male,65+,Crimes Against the Person,Henry Farm
2022,Male,25 to 34,Controlled Drugs and Substances Act,Taylor-Massey
2022,Male,35 to 44,Criminal Code Traffic,Agincourt North
2022,Male,35 to 44,Crimes Against Property,Banbury-Don Mills
2022,Male,35 to 44,Crimes Against Property,Kennedy Park
2022,Male,35 to 44,Crimes Against Property,NSA
2022,Female,65+,Crimes Against the Person,Playter Estates-Danforth
2022,Male,25 to 34,Crimes Against Property,York University Heights
2022,Male,25 to 34,Other Criminal Code Violations,Woodbine Corridor
2022,Male,18 to 24,Other Criminal Code Violations,Malvern East
2022,Female,55 to 64,Crimes Against Property,Rosedale-Moore Park
2022,Male,25 to 34,Crimes Against the Person,Taylor-Massey
2022,Female,18 to 24,Other Criminal Code Violations,NSA
2022,Female,25 to 34,Crimes Against Property,Roncesvalles
2022,Female,35 to 44,Crimes Against the Person,St Lawrence-East Bayfront-The Islands
2022,Male,<18,Crimes Against the Person,Markland Wood
2022,Male,35 to 44,Other Criminal Code Violations,NSA
2022,Male,35 to 44,Crimes Against the Person,Humewood-Cedarvale
2022,Female,25 to 34,Other Criminal Code Violations,High Park North
2022,Female,45 to 54,Crimes Against Property,Harbourfront-CityPlace
2022,Male,<18,Other Criminal Code Violations,Brookhaven-Amesbury
2022,Female,35 to 44,Crimes Against the Person,Elms-Old Rexdale
2022,Male,<18,Crimes Against the Person,Woodbine-Lumsden
2022,Male,35 to 44,Other Criminal Code Violations,High Park North
2022,Male,<18,Crimes Against the Person,Roncesvalles
2022,Male,18 to 24,Crimes Against Property,Dorset Park
2022,Male,18 to 24,Crimes Against Property,Wexford/Maryvale
2022,Male,18 to 24,Crimes Against the Person,Trinity-Bellwoods
2022,Male,35 to 44,Other Criminal Code Violations,Forest Hill North
2022,Male,<18,Crimes Against the Person,Don Valley Village
2022,Female,25 to 34,Crimes Against Property,South Parkdale
2022,Male,55 to 64,Crimes Against the Person,Little Portugal
2022,Male,25 to 34,Crimes Against the Person,Oakdale-Beverley Heights
2022,Female,35 to 44,Crimes Against the Person,Birchcliffe-Cliffside
2022,Female,18 to 24,Crimes Against Property,Lawrence Park South
2022,Male,45 to 54,Crimes Against the Person,Moss Park
2022,Male,25 to 34,Other Criminal Code Violations,Englemount-Lawrence
2022,Male,55 to 64,Crimes Against the Person,Dorset Park
2022,Male,35 to 44,Other Criminal Code Violations,Dufferin Grove
2022,Male,25 to 34,Crimes Against Property,Harbourfront-CityPlace
2022,Male,65+,Crimes Against the Person,Centennial Scarborough
2022,Male,55 to 64,Crimes Against Property,West Humber-Clairville
2022,Female,18 to 24,Crimes Against Property,Church-Wellesley
2022,Female,35 to 44,Crimes Against the Person,Bathurst Manor
2022,Male,25 to 34,Other Criminal Code Violations,Old East York
2022,Male,45 to 54,Other Criminal Code Violations,Bayview Woods-Steeles
2022,Male,25 to 34,Crimes Against Property,O'Connor-Parkview
2022,Male,25 to 34,Criminal Code Traffic,Humbermede
2022,Male,35 to 44,Controlled Drugs and Substances Act,Trinity-Bellwoods
