arrest_year,sex,age_cohort,category,neighbourhood
2014,Female,18 to 24,Crimes Against Property,Elms-Old Rexdale
2022,Male,55 to 64,Other Criminal Code Violations,West Queen West
2018,Male,<18,Other Criminal Code Violations,Roncesvalles
2014,Male,18 to 24,Other Criminal Code Violations,Kensington-Chinatown
2015,Male,25 to 34,Controlled Drugs and Substances Act,York University Heights
2022,Male,55 to 64,Crimes Against Property,O'Connor-Parkview
2021,Male,45 to 54,Crimes Against Property,Junction Area
2020,Male,25 to 34,Other Criminal Code Violations,Eglinton East
2015,Male,35 to 44,Crimes Against Property,Fort York-Liberty Village
2019,Male,45 to 54,Crimes Against Property,Trinity-Bellwoods
2022,Male,25 to 34,Crimes Against Property,Harbourfront-CityPlace
2021,Male,25 to 34,Crimes Against Property,Markland Wood
2022,Male,<18,Other Criminal Code Violations,Henry Farm
2017,Male,18 to 24,Criminal Code Traffic,Yorkdale-Glen Park
2015,Female,45 to 54,Other Criminal Code Violations,Briar Hill-Belgravia
2015,Male,55 to 64,Crimes Against the Person,Eringate-Centennial-West Deane
2017,Male,25 to 34,Other Criminal Code Violations,Flemingdon Park
2014,Male,25 to 34,Crimes Against the Person,Junction Area
2022,Male,<18,Crimes Against the Person,Parkwoods-O'Connor Hills
2017,Male,45 to 54,Crimes Against Property,West Humber-Clairville
2021,Male,35 to 44,Crimes Against Property,Dufferin Grove
2020,Female,35 to 44,Other Criminal Code Violations,Playter Estates-Danforth
2020,Male,35 to 44,Other Criminal Code Violations,O'Connor-Parkview
2022,Male,35 to 44,Crimes Against the Person,Forest Hill South
2017,Female,45 to 54,Crimes Against Property,Tam O'Shanter-Sullivan
2020,Male,35 to 44,Crimes Against Property,Moss Park
2015,Female,45 to 54,Crimes Against Property,Eglinton East
2020,Male,45 to 54,Other Criminal Code Violations,Humber Bay Shores
2021,Male,35 to 44,Other Criminal Code Violations,L'Amoreaux West
2020,Female,18 to 24,Crimes Against the Person,York University Heights
2016,Female,<18,Crimes Against Property,Ionview
2014,Male,<18,Crimes Against Property,Leaside-Bennington
2015,Male,18 to 24,Crimes Against the Person,Trinity-Bellwoods
2014,Male,55 to 64,Crimes Against Property,Scarborough Village
2017,Male,35 to 44,Controlled Drugs and Substances Act,South Parkdale
2016,Male,<18,Crimes Against the Person,Islington
