_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
191,2020,D41,126,Dorset Park (126),Male,25 to 34,Adult,Crimes Against the Person,Robbery,3
192,2022,D55,60,Woodbine-Lumsden (60),Male,45 to 54,Adult,Crimes Against Property,Other,1
193,2018,D51,71,Cabbagetown-South St.James Town (71),Male,18 to 24,Adult,Crimes Against the Person,Assaults,7
194,2014,D42,148,East L'Amoreaux (148),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
195,2016,D11,83,Dufferin Grove (83),Male,18 to 24,Adult,Other Criminal Code Violations,Other,6
196,2017,D12,110,Keelesdale-Eglinton West (110),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
197,2022,D55,54,O'Connor-Parkview (54),Male,65+,Adult,Crimes Against the Person,Assaults,1
198,2017,D55,54,O'Connor-Parkview (54),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,6
199,2020,D51,72,Regent Park (72),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,4
200,2015,D43,142,Woburn North (142),Female,18 to 24,Adult,Crimes Against Property,Other,2
201,2019,D41,120,Clairlea-Birchmount (120),Female,18 to 24,Adult,Other Criminal Code Violations,Other,8
202,2018,D51,74,North St.James Town (74),Female,35 to 44,Adult,Controlled Drugs and Substances Act,Other,2
203,2021,D41,122,Birchcliffe-Cliffside (122),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,3
204,2019,D12,23,Pelmo Park-Humberlea (23),Female,55 to 64,Adult,Crimes Against Property,Theft Under $5000,1
205,2022,D42,129,Agincourt North (129),Male,35 to 44,Adult,Crimes Against Property,Other,2
206,2021,D22,16,Stonegate-Queensway (16),Male,45 to 54,Adult,Crimes Against the Person,Other,1
207,2015,D22,160,Mimico-Queensway (160),Female,35 to 44,Adult,Criminal Code Traffic,Dangerous Driving,1
208,2015,D41,120,Clairlea-Birchmount (120),Male,18 to 24,Adult,Crimes Against the Person,Other,15
209,2014,D33,47,Don Valley Village (47),Male,55 to 64,Adult,Crimes Against Property,Theft Under $5000,4
210,2014,D23,4,Rexdale-Kipling (4),Male,<18,Youth,Crimes Against the Person,Firearm-Related,1
211,2022,D41,119,Wexford/Maryvale (119),Female,18 to 24,Adult,Other Criminal Code Violations,Other,1
212,2018,D55,70,South Riverdale (70),Male,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
213,2020,D14,81,Trinity-Bellwoods (81),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
